id,parent_id,title,uri
0-up,,org,/org/
3764,1387,Новосибирск,/region/sibfo/novosibirskaya/novosibirsk/
3293,3939,Омская область,/region/sibfo/omskobl/
3762,3293,Омск,/region/sibfo/omskobl/omsk/
3291,3939,Республика Алтай,/region/sibfo/respubaltay/
3761,3291,Горно-Алтайск,/region/sibfo/respubaltay/galtay/
872,3939,Томская область,/region/sibfo/tomskobl/
3763,872,Томск,/region/sibfo/tomskobl/tomsk/
2777,3939,Тыва,/region/sibfo/tyva/
3707,2777,Кызыл,/region/sibfo/tyva/kyzyl/
2784,3939,Хакасия,/region/sibfo/hakasia/
3697,2784,Абакан,/region/sibfo/hakasia/abakan/
3940,1,УрФО,/region/urfo/
3273,3940,Курганская область,/region/urfo/kurganobl/
3785,3273,Курган,/region/urfo/kurganobl/kurgan/
874,3940,Свердловская область,/region/urfo/sverdlovskobl/
3782,874,Екатеринбург,/region/urfo/sverdlovskobl/ekaterinburg/
3374,3940,Тюменская область,/region/urfo/tumenobl/
3781,3374,Тюмень,/region/urfo/tumenobl/tumen/
3377,3940,ХМАО,/region/urfo/hmao/
3776,3377,Ханты-Мансийск,/region/urfo/hmao/hanty/
3275,3940,Челябинская область,/region/urfo/chelobl/
3775,3275,Челябинск,/region/urfo/chelobl/chelyabinsk/
3378,3940,ЯНАО,/region/urfo/yanao/
3774,3378,Салехард,/region/urfo/yanao/salekhard/
3941,1,ЦФО,/region/cfo/
3300,3941,Белгородская область,/region/cfo/belgorodobl/
3667,3300,Белгород,/region/cfo/belgorodobl/belgorod/
3164,3941,Брянская область,/region/cfo/bryanobl/
3668,3164,Брянск,/region/cfo/bryanobl/bryansk/
3310,3941,Владимирская область,/region/cfo/vladobl/
3669,3310,Владимир,/region/cfo/vladobl/vladimir/
3298,3941,Воронежская область,/region/cfo/voronezhobl/
3671,3298,Воронеж,/region/cfo/voronezhobl/voronezh/
3314,3941,Ивановская область,/region/cfo/ivanobl/
3672,3314,Иваново,/region/cfo/ivanobl/ivanovo/
3157,3941,Калужская область,/region/cfo/kalugobl/
3673,3157,Калуга,/region/cfo/kalugobl/kaluga/
3316,3941,Костромская область,/region/cfo/kostromobl/
3674,3316,Кострома,/region/cfo/kostromobl/kostroma/
3307,3941,Курская область,/region/cfo/kurskobl/
3675,3307,Курск,/region/cfo/kurskobl/kursk/
3302,3941,Липецкая область,/region/cfo/lipetskobl/
3676,3302,Липецк,/region/cfo/lipetskobl/lipetsk/
3132,3941,Москва,/region/cfo/stolica/
2982,3941,Московская область,/region/cfo/podmoskovie/
4099,2982,Балашиха,/region/cfo/podmoskovie/balashikha/
4109,2982,Железнодорожный,/region/cfo/podmoskovie/zheleznodor/
4106,2982,Коломна,/region/cfo/podmoskovie/kolomna/
4101,2982,Королев,/region/cfo/podmoskovie/korolev/
4112,2982,Красногорск,/region/cfo/podmoskovie/krasnogorsk/
4103,2982,Люберцы,/region/cfo/podmoskovie/lybercy/
4104,2982,Мытищи,/region/cfo/podmoskovie/mytischi/
4107,2982,Одинцово,/region/cfo/podmoskovie/odincovo/
4102,2982,Подольск,/region/cfo/podmoskovie/podolsk/
4111,2982,Серпухов,/region/cfo/podmoskovie/serpukhov/
4100,2982,Химки,/region/cfo/podmoskovie/khimki/
4105,2982,Электросталь,/region/cfo/podmoskovie/electrostal/
3304,3941,Орловская область,/region/cfo/orelobl/
3677,3304,Орел,/region/cfo/orelobl/orel/
3158,3941,Рязанская область,/region/cfo/ryazanobl/
3682,3158,Рязань,/region/cfo/ryazanobl/ryzan/
3161,3941,Смоленская область,/region/cfo/smolenobl/
3683,3161,Смоленск,/region/cfo/smolenobl/smolensk/
3306,3941,Тамбовская область,/region/cfo/tambobl/
3684,3306,Тамбов,/region/cfo/tambobl/tambov/
3318,3941,Тверская область,/region/cfo/tverobl/
3685,3318,Тверь,/region/cfo/tverobl/tver/
3163,3941,Тульская область,/region/cfo/tulobl/
3686,3163,Тула,/region/cfo/tulobl/tula/
3322,3941,Ярославская область,/region/cfo/yarobl/
3681,3322,Ярославль,/region/cfo/yarobl/yaroslavl/
3942,1,ЮФО,/region/ufo/
617,3942,Адыгея,/region/ufo/adygeya/
3725,617,Майкоп,/region/ufo/adygeya/maykop/
3246,3942,Астраханская область,/region/ufo/astrakhanobl/
3788,3246,Астрахань,/region/ufo/astrakhanobl/astrakhan/
3249,3942,Волгоградская область,/region/ufo/volgogradobl/
3789,3249,Волгоград,/region/ufo/volgogradobl/volgograd/
2434,3942,Калмыкия,/region/ufo/kalmykia/
3791,2434,Элиста,/region/ufo/kalmykia/elista/
1482,3942,Краснодарский край,/region/ufo/krasnodarkray/
3726,1482,Краснодар,/region/ufo/krasnodarkray/krasnodar/
4299,3942,Республика Крым,/region/ufo/krym/
4301,4299,Симферополь,/region/ufo/krym/simferopol/
1374,3942,Ростовская область,/region/ufo/rostovskaya/
3792,1374,Ростов-на-Дону,/region/ufo/rostovskaya/rnd/
4300,3942,Севастополь,/region/ufo/sevastopol/
2-up,,theme,/theme/
3052,2,Власть,/tema/gos/
3053,3052,Работа власти,/tema/gos/vlast/
3062,3053,Госуправление,/tema/gos/vlast/otchet/
4230,3053,Внутренняя политика,/tema/gos/vlast/vnutr/
4231,3053,Внешняя политика,/tema/gos/vlast/vnesh/
3064,3053,Регионы,/tema/gos/vlast/region/
3066,3053,Госнаграды,/tema/gos/vlast/nagradi/
4232,3053,Судебная система,/tema/gos/vlast/sud/
3055,3052,Право,/tema/gos/pravo/
4283,3055,Земельное право,/tema/gos/pravo/zemelnoe/
3845,3055,Гражданское право,/tema/gos/pravo/grajdan/
3844,3055,Административное право,/tema/gos/pravo/admin/
3849,3055,Жилищное право,/tema/gos/pravo/jilie/
3848,3055,Трудовое право,/tema/gos/pravo/trud/
3846,3055,Уголовное право,/tema/gos/pravo/uk/
3850,3055,Семейное право,/tema/gos/pravo/semia/
3847,3055,Финансовое право,/tema/gos/pravo/finans/
3985,3055,Транспортное право,/tema/gos/pravo/transport/
4234,3055,Права человека,/tema/gos/pravo/chelovek/
3075,3055,Личные документы,/tema/gos/pravo/dokumenti/
3983,3055,Юрконсультация,/tema/gos/pravo/yurist/
3057,3052,Безопасность,/tema/gos/voennie/
3076,3057,Армия,/tema/gos/voennie/armia/
3077,3057,Спецслужбы,/tema/gos/voennie/spec/
3853,3057,Правоохранительная система,/tema/gos/voennie/pravoporyadok/
4233,3052,Позиция,/tema/gos/mnenie/
9,2,Экономика,/tema/ekonomika/
2677,9,Макроэкономика,/tema/ekonomika/politekonom/
4241,9,ВЭД,/tema/ekonomika/vnesh/
3818,9,Казна,/tema/ekonomika/kazna/
3819,3818,Федеральный бюджет,/tema/ekonomika/kazna/budget/
3820,3818,Бюджеты регионов,/tema/ekonomika/kazna/regbudget/
191,9,Финансы,/tema/ekonomika/finansy/
390,191,Банки,/tema/ekonomika/finansy/banki/
985,191,Валютный рынок,/tema/ekonomika/finansy/valuta/
778,191,Фондовый рынок,/tema/ekonomika/finansy/tsennye/
805,191,Инвестиции,/tema/ekonomika/finansy/kredity/
4242,191,Налоги,/tema/ekonomika/finansy/nalog/
4243,191,Долги и кредиты,/tema/ekonomika/finansy/kredit/
4341,9,Страхование,/tema/ekonomika/strahovanie/
79,9,Бизнес,/tema/ekonomika/business/
2730,79,Крупные компании,/tema/ekonomika/business/news/
3504,79,Малый бизнес,/tema/ekonomika/business/small/
3831,79,Инновации,/tema/ekonomika/business/innovacii/
3481,9,Отрасли,/tema/ekonomika/industria/
3482,3481,Промышленность,/tema/ekonomika/industria/prom/
3483,3481,Энергетика,/tema/ekonomika/industria/energo/
4262,3481,Нефть и газ,/tema/ekonomika/industria/neftegaz/
4263,3481,Ресурсы,/tema/ekonomika/industria/resursi/
4264,3481,Фарминдустрия,/tema/ekonomika/industria/farmindustrija/
4265,3481,Связь,/tema/ekonomika/industria/svyaz/
4244,9,Транспорт,/tema/ekonomika/transport/
4248,4244,Авиатранспорт,/tema/ekonomika/transport/avia/
4249,4244,Водный транспорт,/tema/ekonomika/transport/aqua/
4250,4244,Железные дороги,/tema/ekonomika/transport/rail/
4251,4244,Общественный транспорт,/tema/ekonomika/transport/share/
4253,4244,Бензин,/tema/ekonomika/transport/benzin/
4245,9,АПК,/tema/ekonomika/apk/
4246,9,Недвижимость,/tema/ekonomika/realty/
4257,4246,Жилая недвижимость,/tema/ekonomika/realty/zhilaya/
4258,4246,Коммерческая недвижимость,/tema/ekonomika/realty/kommercheskaya/
4259,4246,Ипотека,/tema/ekonomika/realty/ipoteka/
4260,4246,Земля,/tema/ekonomika/realty/zemlya/
4261,4246,Инфраструктура,/tema/ekonomika/realty/infrastructura/
4247,9,ЖКХ,/tema/ekonomika/kommunal/
4240,9,Пенсии и пособия,/tema/ekonomika/pensii/
4266,9,Товары и цены,/tema/ekonomika/tovary/
4267,9,Туризм,/tema/ekonomika/turizm/
3822,9,Работа,/tema/ekonomika/rabota/
